"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1468","should logout successfully","","Sat Jun 07 11:15:33 UTC 2025","passed","Sat Jun 07 11:15:35 UTC 2025","","Logout Feature","",""
"","418","should show error when no input password","","Sat Jun 07 11:15:31 UTC 2025","passed","Sat Jun 07 11:15:32 UTC 2025","","Login","",""
"","145","should show error when no input","","Sat Jun 07 11:15:31 UTC 2025","passed","Sat Jun 07 11:15:31 UTC 2025","","Login","",""
"","376","should POST create new user (with API key)","","Sat Jun 07 11:15:07 UTC 2025","passed","Sat Jun 07 11:15:07 UTC 2025","","API Automation Example","",""
"","693","should show error for incorrect password","","Sat Jun 07 11:15:30 UTC 2025","passed","Sat Jun 07 11:15:31 UTC 2025","","Login","",""
"","1419","should show error when first name is missing","","Sat Jun 07 11:15:16 UTC 2025","passed","Sat Jun 07 11:15:18 UTC 2025","","Checkout Feature","",""
"","924","should remove product from cart page","","Sat Jun 07 11:15:12 UTC 2025","passed","Sat Jun 07 11:15:13 UTC 2025","","Cart Feature","",""
"","403","should show error when no input username","","Sat Jun 07 11:15:31 UTC 2025","passed","Sat Jun 07 11:15:31 UTC 2025","","Login","",""
"","1359","should show error when last name is missing","","Sat Jun 07 11:15:18 UTC 2025","passed","Sat Jun 07 11:15:19 UTC 2025","","Checkout Feature","",""
"","1002","should show errors when nothing is filled","","Sat Jun 07 11:15:21 UTC 2025","passed","Sat Jun 07 11:15:22 UTC 2025","","Checkout Feature","",""
"","1882","should complete checkout with 1 item","","Sat Jun 07 11:15:14 UTC 2025","passed","Sat Jun 07 11:15:16 UTC 2025","","Checkout Feature","",""
"","935","should remove product from cart","","Sat Jun 07 11:15:10 UTC 2025","passed","Sat Jun 07 11:15:11 UTC 2025","","Cart Feature","",""
"","737","should show error for incorrect username","","Sat Jun 07 11:15:29 UTC 2025","passed","Sat Jun 07 11:15:30 UTC 2025","","Login","",""
"","1324","should show error when postal code is missing","","Sat Jun 07 11:15:19 UTC 2025","passed","Sat Jun 07 11:15:21 UTC 2025","","Checkout Feature","",""
"","1446","should add first product to cart","","Sat Jun 07 11:15:09 UTC 2025","passed","Sat Jun 07 11:15:10 UTC 2025","","Cart Feature","",""
"","3647","should test all users in fixture","","Sat Jun 07 11:15:23 UTC 2025","passed","Sat Jun 07 11:15:27 UTC 2025","","Login (data-driven)","",""
"","1010","should login successfully","","Sat Jun 07 11:15:28 UTC 2025","passed","Sat Jun 07 11:15:29 UTC 2025","","Login","",""
"","853","should show product in cart page","","Sat Jun 07 11:15:11 UTC 2025","passed","Sat Jun 07 11:15:12 UTC 2025","","Cart Feature","",""
